Rank,Title,RatingTomatometer,Genres
31,the battle of algiers,98,drama
32,baby driver,93,drama
33,the florida project,96,drama
34,alien,97,drama
35,la la land,91,drama
36,manchester by the sea,95,drama
37,bicycle thieves,98,drama
38,m,100,drama
39,taxi driver,98,drama
40,touch of evil,96,drama
41,seven samurai,100,drama
42,spider-man: homecoming,92,drama
43,all quiet on the western front,100,drama
44,hell or high water,97,drama
45,war for the planet of the apes,93,drama
46,12 angry men,100,drama
47,the treasure of the sierra madre,100,drama
48,"three billboards outside ebbing, missouri",91,drama
49,the babadook,98,drama
50,a streetcar named desire,98,drama
51,vertigo,96,drama
52,the 400 blows,100,drama
53,rebecca,100,drama
54,brooklyn,97,drama
55,the night of the hunter,98,drama
56,lawrence of arabia,98,drama
57,army of shadows,97,drama
58,the dark knight,94,drama
59,the death of stalin,96,drama
60,the wrestler,98,drama
61,rashômon,98,drama
62,jaws,97,drama
63,the wages of fear,100,drama
64,l.a. confidential,99,drama
65,creed,95,drama
66,open city,100,drama
67,on the waterfront,98,drama
68,harry potter and the deathly hallows - part 2,96,drama
69,the grapes of wrath,100,drama
70,tokyo story,100,drama
71,the big sleep,97,drama
72,roman holiday,98,drama
73,the hurt locker,97,drama
74,the last picture show,100,drama
75,cool hand luke,100,drama
76,the leopard,100,drama
77,star wars: episode iv - a new hope,93,drama
78,paterson,96,drama
79,phantom thread,91,drama
80,room,94,drama
81,hidden figures,93,drama
82,"i, tonya",89,drama
83,"the godfather, part ii",97,drama
84,chinatown,98,drama
85,battleship potemkin,100,drama
86,the searchers,100,drama
87,the post,88,drama
88,anatomy of a murder,100,drama
89,gone with the wind,92,drama
90,carol,94,drama
91,nightcrawler,95,drama
92,star trek,94,drama
93,before midnight,98,drama
94,the conformist,98,drama
95,au hasard balthazar,100,drama
96,things to come,100,drama
97,the red shoes,96,drama
98,schindler's list,97,drama
99,la dolce vita,97,drama
100,sweet smell of success,98,drama
1,get out,98,horror
2,the cabinet of dr. caligari,100,horror
3,a quiet place,95,horror
4,psycho,97,horror
5,king kong,98,horror
6,"nosferatu, a symphony of horror",97,horror
7,repulsion,100,horror
8,the bride of frankenstein,100,horror
9,the babadook,98,horror
10,rosemary's baby,99,horror
11,frankenstein,100,horror
12,aliens,99,horror
13,it follows,96,horror
14,let the right one in,98,horror
15,night of the living dead,97,horror
16,hereditary,89,horror
17,eyes without a face,98,horror
18,freaks,94,horror
19,the witch,91,horror
20,the silence of the lambs,96,horror
21,pan's labyrinth,95,horror
22,evil dead 2: dead by dawn,98,horror
23,the birds,96,horror
24,halloween,95,horror
25,gojira,93,horror
26,don't look now,96,horror
27,the vanishing,98,horror
28,the innocents,96,horror
29,the cabin in the woods,91,horror
30,a girl walks home alone at night,96,horror
31,drag me to hell,92,horror
32,it,85,horror
33,invasion of the body snatchers,94,horror
34,the evil dead,95,horror
35,the endless,95,horror
36,carrie,93,horror
37,re-animator,95,horror
38,young frankenstein,93,horror
39,the loved ones,98,horror
40,nosferatu: phantom der nacht,94,horror
41,the love witch,95,horror
42,room 237,94,horror
43,suspiria,93,horror
44,train to busan,95,horror
45,a nightmare on elm street,94,horror
46,shaun of the dead,92,horror
47,the host,93,horror
48,dracula,91,horror
49,the fly,92,horror
50,zombieland,90,horror
51,what ever happened to baby jane?,92,horror
52,cam,94,horror
